Domain,Website,Business name (G99),Clinic name (G99),Specialization,Reason not added,Reason code,Category,Possible base-domain match,G99 clinic rows,G99 clinic ids
aesthetic-district.com,https://aesthetic-district.com,The District,The District,Medical Aesthetics,Duplicate of: The District,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4456
aesthetic-intel.com,https://aesthetic-intel.com,Aesthetic Intel,Aesthetic Intel,Medical Aesthetics,"Provider injectable-course business (courses/webinars/shop sold to medical providers). The only patient-facing route is a 'model' programme where the public receives injectables during training sessions for a model fee. DECISION 2026-07-29: model calls are not a service the public can book on demand and the treating hands are trainees, so this stays excluded even under the broadened criteria. Revisit if it opens a real patient clinic.",TRAINING_ONLY,Not a medspa / no usable data,,1,1670
afivestarsmile.com,https://afivestarsmile.com,"Cosmetic Dental Spa Ricardo M. Perez, DDS","Cosmetic Dental Spa Ricardo M. Perez, DDS",Medical Aesthetics,"Cosmetic dental spa. Out of scope regardless of site state — this is a medspa directory and carries no dentistry (see scripts/2026-07-29-remove-dentistry.sql). Separately, the live site is a 'Coming Soon' placeholder with every service path 404; archive.org captures from 2025 showed cosmetic dentistry plus a small medspa line (Botox, fillers, HydraFacial, Fotona laser). If it relaunches, only a genuinely non-dental aesthetic menu would qualify.",OUT_OF_SCOPE_DENTISTRY,Not a medspa / no usable data,,1,9086
americanprep.org,https://americanprep.org,American Preparatory Schools,American Preparatory Schools,Medical Aesthetics,K-12 tuition-free public charter school system (American Preparatory Academy) with no clinical or aesthetic services offered to the public.,NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,708
ascentintegrativemedicine.com,https://ascentintegrativemedicine.com,Ascent Integrative Medicine,Ascent Integrative Medicine,Medical Aesthetics,"Concierge men's testosterone-replacement and Semaglutide weight-management clinic; its only listed services are hormone/weight-loss related, with no skin, face, body-contouring, nail, or lash aesthetic service on the domain itself.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,1575
azorthopedic.com,https://azorthopedic.com,AZ Orthopedic,AZ Orthopedic - Peoria,Medical Aesthetics,Orthopedic surgery and sports-medicine practice (knee/shoulder) with a full services page reviewed; no aesthetic or cosmetic offering of any kind.,NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,2,"5496, 5720"
beautyrefined.co,https://beautyrefined.co,Beauty Refined,Beauty Refined,Medical Aesthetics,Duplicate of: Beauty Refined,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,2,"4731, 4800"
bodyrevolutionwellness.com,https://bodyrevolutionwellness.com,Body Revolution Aesthetics & Wellness,Body Revolution Aesthetics & Wellness,Medical Aesthetics,"Body Revolution Aesthetics & Wellness — a REAL, OPEN, currently-booking aesthetics business (live Zenoti booking, sitemap slugs for injectables/facial-treatments/rf-microneedling/skin-health). Its marketing site serves an identical ~190-character 'coming soon' splash on EVERY route, including a headless render, so no page yields a citable service. DECISION 2026-07-29: not added because there is nothing to ingest — this is NOT 'not a medspa'. Almost certainly qualifies; re-check once the real site publishes.",PLACEHOLDER_COMING_SOON,Not a medspa / no usable data,,1,3981
cachevalleyent.com,https://cachevalleyent.com,Cache Valley ENT,Cache Valley ENT,Medical Aesthetics,"Duplicate of: cvfacialplastics.com — Cache Valley Facial Plastics. The ENT site's aesthetic offering IS that practice: both share phone 435-753-7880, and Cache Valley Facial Plastics is already in the directory with its Logan and Providence, UT locations. Adding this domain would duplicate the same business.",DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,714
charissfamilyclinic.com,https://charissfamilyclinic.com,Chariss Family Medical Clinic,Chariss Family Medical Clinic,Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,543
