domain	biz	clinic	source_sheet	probe_code	old_category	old_reason
aesthetic-intel.com	Aesthetic Intel	Aesthetic Intel	Skipped		Not a medspa / no usable data	Provider training institute — not a patient-facing clinic
afivestarsmile.com	Cosmetic Dental Spa Ricardo M. Perez, DDS	Cosmetic Dental Spa Ricardo M. Perez, DDS	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Cosmetic Dental Spa Ricardo M. Perez, DDS
americanprep.org	American Preparatory Schools	American Preparatory Schools	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: American Preparatory Schools
apexfit.com	Apex Fit	Apex Fit	Skipped		Not a medspa / no usable data	Fitness training studio (personal training, DEXA) — no listed aesthetic services
artspahouse.com	ART Spa House	ART Spa House	Skipped		Not a medspa / no usable data	Day spa (massage/facials/nails) — no medical aesthetics or injectables
ascentintegrativemedicine.com	Ascent Integrative Medicine	Ascent Integrative Medicine	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Ascent Integrative Medicine
azorthopedic.com	AZ Orthopedic	AZ Orthopedic - Peoria	Skipped		Not a medspa / no usable data	Orthopedic surgery practice — not a medspa
bluesparkhealth.com	Blue Spark Health	Blue Spark Health	Skipped		Not a medspa / no usable data	Naturopathic medicine clinic — minimal/no aesthetic services
bodyrevolutionwellness.com	Body Revolution Aesthetics & Wellness	Body Revolution Aesthetics & Wellness	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Body Revolution Aesthetics & Wellness
cachevalleyent.com	Cache Valley ENT	Cache Valley ENT	Skipped		Not a medspa / no usable data	ENT (ear/nose/throat) clinic — not a medspa
calhounhealthandspine.com	Calhoun Health & Spine	Calhoun Health &amp; Spine	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Calhoun Health & Spine
charissfamilyclinic.com	Chariss Family Medical Clinic	Chariss Family Medical Clinic	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Chariss Family Medical Clinic
chiweilinmd.com	CHI-WHEI LIN, MD, INC	CHI-WHEI LIN, MD, INC	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: CHI-WHEI LIN, MD, INC
colleenmaherartistry.com	Colleen Maher Artistry	Colleen Maher Artistry	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Colleen Maher Artistry
coreaestheticstraining.com	Core Aesthetics Training Institute	Core Aesthetics Training Institute	Skipped		Not a medspa / no usable data	Aesthetics training institute — not a patient-facing clinic
corlettexpress.com	Corlett Express Trucking	Corlett Express Trucking	Skipped		Not a medspa / no usable data	Freight / delivery company — not a medical spa
courses.myaestheticinstitute.com	My Aesthetic Institute	My Aesthetic Institute	Skipped		Not a medspa / no usable data	Aesthetic-medicine training school for professionals — not a patient clinic
covecreek.com	Cove Creek Partners	Cove Creek Partners	Skipped		Not a medspa / no usable data	Empty site — no text, services, or contact to extract
deeplyvitalmedical.com	Deeply Vital Medical	Deeply Vital Medical	Skipped		Not a medspa / no usable data	Website returned almost no content — insufficient data to add
drgrossman.com	Leonard Grossman, MD	Leonard Grossman, MD	Skipped		Not a medspa / no usable data	Surgical plastic-surgery practice only (liposuction, facelifts) — no medspa menu
drjosephfield.com	Joseph Field DDS	Joseph Field DDS - Los Altos	Skipped		Not a medspa / no usable data	Cosmetic dentistry practice — not a medspa
drpravinsuryawanshi.com	Dr Pravin Suryawanshi	Dr Pravin Suryawanshi	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Dr Pravin Suryawanshi
